상호명,브랜드,is_starbucks,위도,경도,시군구명,도로명주소,log_dist_subway,subway_count_cat,subway_ridership,bus_stops_300m,peak_avg,restaurants_500m,log_retail_500m,convenience_500m,indie_cafe_500m,low_price_cafe_500m,franchise_cafe_500m,log_dist_starbucks,avg_income,offices,living_pop,land_price
아크로힐스논현,스타벅스,1,37.50901331,127.0403524,강남구,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",0.30003051563264427,1,34642.0,7,339600.6666666667,462,5.700443573390687,35,68,2,3,0.3080176459421995,3607265.0,202016.0,98668.0,15728217.0
강남비젼타워,스타벅스,1,37.4964557,127.0296885,강남구,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",0.16763084138395098,1,173599.0,18,1210334.3333333333,1217,6.661854740545311,62,171,8,20,0.13879625886158442,3607265.0,202016.0,98668.0,15728217.0
압구정로데오역,스타벅스,1,37.52656256,127.0404835,강남구,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",0.087186361678916,1,38992.0,4,255181.33333333334,882,6.663132695990803,31,74,2,5,0.17473955257330998,5010204.0,58171.0,40957.0,17877524.0
르네상스사거리,스타벅스,1,37.50268239,127.0441433,강남구,서울특별시 강남구 테헤란로 306 (역삼동),0.36346186062770647,1,128658.0,4,936582.0,773,6.09807428216624,56,109,6,11,0.13348576658367062,5367397.0,55876.0,53114.0,15728217.0
포스코,스타벅스,1,37.50576458,127.0580449,강남구,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",0.4487799927941089,0,104363.0,8,0.0,845,6.565264970035361,47,127,7,16,0.18548737363678028,6017362.0,102922.0,52052.0,14330204.0
선릉로,스타벅스,1,37.50498119,127.0468081,강남구,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",0.1453982026893568,1,128658.0,2,936582.0,670,6.1070228877422545,46,102,5,10,0.17387011038537442,3607265.0,202016.0,98668.0,15728217.0
논현힐탑,스타벅스,1,37.511685,127.032187,강남구,서울특별시 강남구 논현로 648 (논현동),0.25208080120880744,1,44300.0,3,334217.6666666667,518,5.983936280687191,28,90,2,13,0.3028615293457057,3973993.0,57007.0,45491.0,13166568.0
도산가로수길,스타벅스,1,37.5173623,127.0232957,강남구,"서울특별시 강남구 도산대로 134, 2층 (논현동)",0.26466929814270806,1,53415.0,4,426359.6666666667,758,6.295266001439646,38,110,3,3,0.23071402284435316,3277066.0,45242.0,39520.0,13166568.0
매봉역,스타벅스,1,37.4859095,127.0452879,강남구,서울특별시 강남구 남부순환로 2736 (도곡동),0.16067222538889844,1,24580.0,5,166980.33333333334,251,5.0238805208462765,14,38,2,5,0.4004036538656467,6567504.0,84833.0,27355.0,9974082.0
호림아트센터,스타벅스,1,37.522514,127.035977,강남구,서울특별시 강남구 도산대로 317 (신사동),0.515275707439602,0,38992.0,6,0.0,877,6.3818160174060985,32,76,4,6,0.1602591280687952,5808537.0,50479.0,39967.0,18576443.0
청담역6번출구,스타벅스,1,37.51660208,127.0517528,강남구,서울특별시 강남구 삼성로 634 (삼성동),0.2911759617060367,2,37562.0,4,465127.3333333333,189,5.293304824724492,20,35,3,4,0.30396601643633475,5098096.0,189339.0,41121.0,17309515.0
강남자곡,스타벅스,1,37.47306371,127.1024473,강남구,서울특별시 강남구 자곡로 172 (자곡동) 107~109호,0.9397728560213584,0,73830.0,2,0.0,73,4.356708826689592,10,13,1,2,0.5193977776466309,3885403.0,379.0,46381.0,2522897.0
대치한티,스타벅스,1,37.4984818,127.052066,강남구,서울특별시 강남구 선릉로 324 (대치동),0.2307942102447325,1,32094.0,10,209649.0,336,6.003887067106539,29,43,4,7,0.200062419590797,4101144.0,43704.0,40617.0,14330204.0
개포동,스타벅스,1,37.48285514,127.0607152,강남구,서울특별시 강남구 선릉로 34 (개포동),0.386893722522729,1,7344.0,7,32982.0,47,4.02535169073515,5,6,1,0,0.6664550953558204,5195802.0,8854.0,30703.0,5662514.0
수서역사거리,스타벅스,1,37.48740078,127.1029225,강남구,서울특별시 강남구 광평로 280 (수서동),0.1118096750520056,1,73830.0,14,428523.3333333333,195,4.890349128221754,13,27,3,1,0.06701264546627295,3847379.0,19403.0,23671.0,3109935.0
코엑스아셈타워,스타벅스,1,37.513019,127.059838,강남구,서울특별시 강남구 영동대로 517 (삼성동),0.12944806718688648,1,47578.0,9,450165.0,536,6.257667587882639,27,89,0,10,0.08929942407903041,5098096.0,189339.0,41121.0,17309515.0
강남차여성병원,스타벅스,1,37.50640319,127.0318113,강남구,서울특별시 강남구 봉은사로 156 (역삼동),0.18755782358920098,1,22430.0,9,254720.0,398,5.916202062607435,32,92,2,7,0.36963756497004474,3607265.0,202016.0,98668.0,15728217.0
센터필드R,스타벅스,1,37.50369465,127.0417208,강남구,서울특별시 강남구 테헤란로 231 (역삼동),0.4552706296436708,0,97341.0,5,0.0,857,6.1463292576688975,66,113,10,12,0.159505744411755,3607265.0,202016.0,98668.0,15728217.0
도산사거리,스타벅스,1,37.51966,127.0341,강남구,서울특별시 강남구 언주로 727 (논현동),0.49542768158589395,0,44300.0,5,0.0,601,5.971261839790462,26,75,2,8,0.3059614814161909,3973993.0,57007.0,45491.0,13166568.0
강남세곡,스타벅스,1,37.46727432,127.0999297,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),1.1652735551866595,0,73830.0,10,0.0,59,3.970291913552122,5,10,1,1,0.5193977776466309,3885403.0,379.0,46381.0,1811251.0
대치삼성,스타벅스,1,37.500313,127.066961,강남구,서울특별시 강남구 영동대로 237 (대치동),0.41680061777191,0,4980.0,6,0.0,172,5.135798437050262,14,27,3,4,0.2523240295730758,6017362.0,102922.0,52052.0,14330204.0
강남아이퀘스트,스타벅스,1,37.49043451,127.0336263,강남구,서울특별시 강남구 도곡로 121 (역삼동),0.5317452740184941,0,83745.0,7,0.0,635,6.1092475827643655,42,103,5,4,0.2340470910857103,3607265.0,202016.0,98668.0,15728217.0
언주역,스타벅스,1,37.507975,127.036478,강남구,서울특별시 강남구 봉은사로 222 (역삼동),0.21720595864745643,1,22430.0,8,254720.0,545,5.831882477283517,39,92,3,7,0.3080176459421995,3607265.0,202016.0,98668.0,15728217.0
한티역8번출구,스타벅스,1,37.4964928,127.0521993,강남구,서울특별시 강남구 도곡로 331 (역삼동),0.06381951271295404,1,32094.0,8,209649.0,256,5.8888779583328805,21,35,5,6,0.200062419590797,5367397.0,55876.0,53114.0,15728217.0
신논현역3번출구,스타벅스,1,37.50587698,127.0242895,강남구,서울특별시 강남구 강남대로 488 (논현동),0.14634889633513704,1,63798.0,9,415451.6666666667,1053,6.424869023905388,52,149,8,14,0.17987857514281463,3277066.0,45242.0,39520.0,13166568.0
강남파이낸스센터,스타벅스,1,37.49993577,127.0368478,강남구,서울특별시 강남구 테헤란로 152 (역삼동),0.08047338414987679,1,97341.0,9,719742.6666666666,1016,6.137727054086234,65,149,9,13,0.15936420859443073,3607265.0,202016.0,98668.0,15728217.0
강남역신분당역사,스타벅스,1,37.49705725,127.0281807,강남구,서울특별시 강남구 강남대로 396 (역삼동),0.04152574682849831,1,173599.0,20,1210334.3333333333,1101,6.628041376179533,63,147,7,19,0.06563229774578774,3607265.0,202016.0,98668.0,15728217.0
삼성역,스타벅스,1,37.50920696,127.0656085,강남구,서울특별시 강남구 테헤란로 620 (대치동),0.19243689053504762,2,104363.0,10,1661454.0,230,5.267858159063328,23,45,3,6,0.14997483023375838,6017362.0,102922.0,52052.0,14330204.0
테헤란로아남타워,스타벅스,1,37.50383,127.04487,강남구,서울특별시 강남구 테헤란로 311 (역삼동),0.28600566807083644,1,128658.0,4,936582.0,773,6.234410725718371,55,109,7,10,0.13348576658367062,3607265.0,202016.0,98668.0,15728217.0
강남논현,스타벅스,1,37.50789786,127.0233386,강남구,서울특별시 강남구 강남대로 512 (논현동),0.33196208114332687,2,37489.0,7,686793.0,913,6.447305862541213,58,135,8,12,0.2149952438411893,3277066.0,45242.0,39520.0,13166568.0
삼성동,스타벅스,1,37.51084337,127.0636334,강남구,서울특별시 강남구 영동대로96길 12 (삼성동),0.2006525134786781,2,104363.0,10,2111619.0,448,6.267200548541362,33,81,3,9,0.1941669555575738,5098096.0,189339.0,41121.0,17309515.0
리저브도산,스타벅스,1,37.52554758,127.0377509,강남구,서울특별시 강남구 선릉로155길 23 (신사동),0.2769496858727371,1,38992.0,4,255181.33333333334,993,6.717804695023691,36,89,5,5,0.23593894006017954,5808537.0,50479.0,39967.0,18576443.0
압구정역사3번출구,스타벅스,1,37.52575282,127.0288619,강남구,서울특별시 강남구 논현로 854 (신사동),0.14054424499230833,1,62771.0,4,482638.3333333333,514,6.284134161070802,24,76,5,12,0.08179931777637754,5808537.0,50479.0,39967.0,18576443.0
청담역,스타벅스,1,37.51944073,127.0495527,강남구,서울특별시 강남구 삼성로 709 (청담동),0.2889312918522129,1,37562.0,7,298057.3333333333,214,5.6131281063880705,21,39,2,3,0.2945640869717892,5010204.0,58171.0,40957.0,17877524.0
압구정현대아파트,스타벅스,1,37.52521971,127.0256602,강남구,서울특별시 강남구 논현로175길 38 (신사동),0.27884312378457654,1,62771.0,5,482638.3333333333,445,6.317164686747284,22,78,4,11,0.22921309431513484,5099915.0,27674.0,33058.0,18576443.0
강남청담빌딩,스타벅스,1,37.517887,127.041375,강남구,서울특별시 강남구 선릉로 704 (청담동),0.06241126012139706,1,52718.0,8,369468.6666666667,484,5.877735781779639,27,80,4,5,0.1356247001267827,5010204.0,58171.0,40957.0,17877524.0
케이스퀘어강남,스타벅스,1,37.49919146,127.0282044,강남구,서울특별시 강남구 강남대로94길 10 (역삼동),0.18107077489230203,1,173599.0,18,1210334.3333333333,1187,6.598509028614515,60,174,8,20,0.14534113231898055,3607265.0,202016.0,98668.0,15728217.0
강남세곡DT,스타벅스,1,37.46699381,127.1183308,강남구,서울특별시 강남구 헌릉로 727 (세곡동),0.6248683398066509,0,18539.0,4,0.0,7,2.70805020110221,1,1,0,0,0.8094767159519819,3885403.0,379.0,46381.0,1811251.0
미아뉴타운,스타벅스,1,37.618319,127.021072,강북구,서울특별시 강북구 삼양로 161 (미아동),0.29244570830080313,1,5594.0,7,34732.666666666664,262,5.303304908059076,16,19,4,5,0.6913936440129962,3734477.0,374.0,19391.0,3186678.0
강북구청사거리,스타벅스,1,37.63998786,127.0274331,강북구,서울특별시 강북구 도봉로 365 (수유동),0.23285623016800208,1,69603.0,14,510108.0,873,6.12029741895095,38,79,8,8,0.22089783157219434,2205999.0,2732.0,22407.0,2471616.0
미아사거리역,스타벅스,1,37.61183125,127.0305855,강북구,서울특별시 강북구 도봉로 32 (미아동),0.1562342220306362,1,52500.0,17,396350.6666666667,544,6.464588303689961,21,53,5,5,0.14204021470594158,2555447.0,998.0,31265.0,3186678.0
